SURVEY_ID,SUBMISSION_ID,ORGANIZATION,DIVISION,TITLE,LEVEL,Q_ID,WORDING,ANSWER,DETAILEDANSWER,VALUE,GROUPING,QUESTION_TYPE,POSITION,QUESTION_ID,QUESTION_TAGS,SKIPPED,ANSWER_CHOICE_POSITION,OTHER,COMPLETED_TIME,CONTACT_ID,STATE,CHANNEL_ID,LANGUAGE,CONTACT,CHANNEL_NAME,CHANNEL_TYPE,CHANNEL_STATUS
173748,9499969,Deloitte Consulting,Strategy & Analytics,Engineering Lead,Management / Associate,Q1,What is your Organization?,Deloitte Consulting,NULL,NULL,Demographics,Demographics info,NULL,2681971.0,[],False,NULL,False,2021-11-11T14:53:45.465Z,NULL,COMPLETED,2448341,en,NULL,Web Link Share,LINK,ACTIVE
173748,9499969,Deloitte Consulting,Strategy & Analytics,Engineering Lead,Management / Associate,Q1a,What is your Division?,Strategy & Analytics,NULL,NULL,Demographics,Demographics info,NULL,2681980.0,[],False,NULL,False,2021-11-11T14:53:45.465Z,NULL,COMPLETED,2448341,en,NULL,Web Link Share,LINK,ACTIVE
173748,9499969,Deloitte Consulting,Strategy & Analytics,Engineering Lead,Management / Associate,Q2,What is your title?,Engineering Lead,NULL,NULL,Demographics,Demographics info,NULL,2681983.0,[],False,NULL,False,2021-11-11T14:53:45.465Z,NULL,COMPLETED,2448341,en,NULL,Web Link Share,LINK,ACTIVE
173748,9499969,Deloitte Consulting,Strategy & Analytics,Engineering Lead,Management / Associate,Q3,What is your level in your organization?,Management / Associate,"[{'choiceId': 6504471, 'choiceText': 'Management / Associate '}]",NULL,Demographics,Demographics info,2.0,2681986.0,[],False,NULL,False,2021-11-11T14:53:45.465Z,NULL,COMPLETED,2448341,en,NULL,Web Link Share,LINK,ACTIVE
173748,9499969,Deloitte Consulting,Strategy & Analytics,Engineering Lead,Management / Associate,Q4,"When it comes to AI initiatives in your organization, which of the following best describes your role?",Technical delivery (Focuses on creating AI solutions or works in the technology ecosystem with AI solutions),"[{'choiceId': 6504491, 'choiceText': 'Technical delivery (Focuses on creating AI solutions or works in the technology ecosystem with AI solutions) '}]",NULL,Demographics,Demographics info,4.0,2681990.0,[],False,NULL,False,2021-11-11T14:53:45.465Z,NULL,COMPLETED,2448341,en,NULL,Web Link Share,LINK,ACTIVE
173748,9499969,Deloitte Consulting,Strategy & Analytics,Engineering Lead,Management / Associate,Q5,How aware are you of AI initiatives across your organization?,Moderately aware,"[{'choiceId': 6504515, 'choiceText': 'Moderately aware '}]",3.0,Awareness,Likert,2.0,2682000.0,[],False,NULL,False,2021-11-11T14:53:45.465Z,NULL,COMPLETED,2448341,en,NULL,Web Link Share,LINK,ACTIVE
173748,9499969,Deloitte Consulting,Strategy & Analytics,Engineering Lead,Management / Associate,Q6,How familiar are you with how AI is used across your organization?,Somewhat familiar,"[{'choiceId': 6504531, 'choiceText': 'Somewhat familiar '}]",2.0,Familiarity,Likert,3.0,2682004.0,[],False,NULL,False,2021-11-11T14:53:45.465Z,NULL,COMPLETED,2448341,en,NULL,Web Link Share,LINK,ACTIVE
173748,9499969,Deloitte Consulting,Strategy & Analytics,Engineering Lead,Management / Associate,Q7,"To the best of your knowledge, which of the following types of AI applications has your organization used or discussed using? Please select all that apply.",Robotic Process Automation,"[{'choiceId': 6504536, 'choiceText': 'Robotic Process Automation '}, {'choiceId': 6504537, 'choiceText': 'Prediction '}, {'choiceId': 6504538, 'choiceText': 'Planning and Optimization  '}, {'choiceId': 6504539, 'choiceText': 'Modeling and Simulation '}, {'choiceId': 6504541, 'choiceText': 'Computer Vision '}]",NULL,AI-Type,Multi-Punch,NULL,2682012.0,[],False,NULL,False,2021-11-11T14:53:45.465Z,NULL,COMPLETED,2448341,en,NULL,Web Link Share,LINK,ACTIVE
173748,9499969,Deloitte Consulting,Strategy & Analytics,Engineering Lead,Management / Associate,Q7,"To the best of your knowledge, which of the following types of AI applications has your organization used or discussed using? Please select all that apply.",Prediction,"[{'choiceId': 6504536, 'choiceText': 'Robotic Process Automation '}, {'choiceId': 6504537, 'choiceText': 'Prediction '}, {'choiceId': 6504538, 'choiceText': 'Planning and Optimization  '}, {'choiceId': 6504539, 'choiceText': 'Modeling and Simulation '}, {'choiceId': 6504541, 'choiceText': 'Computer Vision '}]",NULL,AI-Type,Multi-Punch,NULL,2682012.0,[],False,NULL,False,2021-11-11T14:53:45.465Z,NULL,COMPLETED,2448341,en,NULL,Web Link Share,LINK,ACTIVE
173748,9499969,Deloitte Consulting,Strategy & Analytics,Engineering Lead,Management / Associate,Q7,"To the best of your knowledge, which of the following types of AI applications has your organization used or discussed using? Please select all that apply.",Planning and Optimization,"[{'choiceId': 6504536, 'choiceText': 'Robotic Process Automation '}, {'choiceId': 6504537, 'choiceText': 'Prediction '}, {'choiceId': 6504538, 'choiceText': 'Planning and Optimization  '}, {'choiceId': 6504539, 'choiceText': 'Modeling and Simulation '}, {'choiceId': 6504541, 'choiceText': 'Computer Vision '}]",NULL,AI-Type,Multi-Punch,NULL,2682012.0,[],False,NULL,False,2021-11-11T14:53:45.465Z,NULL,COMPLETED,2448341,en,NULL,Web Link Share,LINK,ACTIVE
